1 Jan 1999,Tuesday,New Year's Day
5 Feb 1999,Tuesday,Chinese Lunar New Year's Day
6 Feb 1999,Wednesday,Second day of Chinese Lunar New Year
19 Apr 1999,Friday,Good Friday
1 May 1999,Wednesday,Labour Day
19 May 1999,Sunday,Vesak Day
20 May 1999,Monday,Vesak Day observed
5 Jun 1999,Wednesday,Hari Raya Puasa
9 Aug 1999,Friday,National Day
11 Aug 1999,Sunday,Hari Raya Haji
12 Aug 1999,Monday,Hari Raya Haji observed
27 Oct 1999,Sunday,Diwali/Deepavali
28 Oct 1999,Monday,Diwali/Deepavali observed
25 Dec 1999,Wednesday,Christmas Day
1 Jan 2000,Saturday,New Year's Day
8 Jan 2000,Saturday,Hari Raya Puasa
5 Feb 2000,Saturday,Chinese Lunar New Year's Day
7 Feb 2000,Monday,Second day of Chinese Lunar New Year
16 Mar 2000,Thursday,Hari Raya Haji
21 Apr 2000,Friday,Good Friday
1 May 2000,Monday,Labour Day
18 May 2000,Thursday,Vesak Day
9 Aug 2000,Wednesday,National Day
26 Oct 2000,Thursday,Diwali/Deepavali
25 Dec 2000,Monday,Christmas Day
1 Jan 2001,Monday,New Year's Day
24 Jan 2001,Wednesday,Chinese Lunar New Year's Day
25 Jan 2001,Thursday,Second day of Chinese Lunar New Year
6 Mar 2001,Tuesday,Hari Raya Haji
13 Apr 2001,Friday,Good Friday
1 May 2001,Tuesday,Labour Day
7 May 2001,Monday,Vesak Day
9 Aug 2001,Thursday,National Day
14 Nov 2001,Wednesday,Diwali/Deepavali
16 Dec 2001,Sunday,Hari Raya Puasa
17 Dec 2001,Monday,Hari Raya Puasa observed
25 Dec 2001,Tuesday,Christmas Day
1 Jan 2002,Tuesday,New Year's Day
12 Feb 2002,Tuesday,Chinese Lunar New Year's Day
13 Feb 2002,Wednesday,Second day of Chinese Lunar New Year
23 Feb 2002,Saturday,Hari Raya Haji
29 Mar 2002,Friday,Good Friday
1 May 2002,Wednesday,Labour Day
26 May 2002,Sunday,Vesak Day
27 May 2002,Monday,Vesak Day observed
9 Aug 2002,Friday,National Day
3 Nov 2002,Sunday,Diwali/Deepavali
4 Nov 2002,Monday,Diwali/Deepavali observed
6 Dec 2002,Friday,Hari Raya Puasa
25 Dec 2002,Wednesday,Christmas Day
1 Jan 2003,Wednesday,New Year's Day
1 Feb 2003,Saturday,Chinese Lunar New Year's Day
3 Feb 2003,Monday,Second day of Chinese Lunar New Year
12 Feb 2003,Wednesday,Hari Raya Haji
18 Apr 2003,Friday,Good Friday
1 May 2003,Thursday,Labour Day
15 May 2003,Thursday,Vesak Day
9 Aug 2003,Saturday,National Day
23 Oct 2003,Thursday,Diwali/Deepavali
25 Nov 2003,Tuesday,Hari Raya Puasa
25 Dec 2003,Thursday,Christmas Day
1 Jan 2004,Thursday,New Year's Day
22 Jan 2004,Thursday,Chinese Lunar New Year's Day
23 Jan 2004,Friday,Second day of Chinese Lunar New Year
1 Feb 2004,Sunday,Hari Raya Haji
2 Feb 2004,Monday,Hari Raya Haji observed
9 Apr 2004,Friday,Good Friday
1 May 2004,Saturday,Labour Day
2 Jun 2004,Wednesday,Vesak Day
9 Aug 2004,Monday,National Day
11 Nov 2004,Thursday,Diwali/Deepavali
14 Nov 2004,Sunday,Hari Raya Puasa
15 Nov 2004,Monday,Hari Raya Puasa observed
25 Dec 2004,Saturday,Christmas Day
1 Jan 2005,Saturday,New Year's Day
21 Jan 2005,Friday,Hari Raya Haji
9 Feb 2005,Wednesday,Chinese Lunar New Year's Day
